"","X1","date","block","number","species","percent_cover","colour","timediff"
"131",648,2019-06-15,"C",4,"ulothrix",62,"warm",9.10119047619048
"132",649,2019-06-15,"C",5,"ulothrix",52,"ambient",9.10119047619048
"133",650,2019-06-15,"C",6,"ulothrix",61,"warm",9.10119047619048
"134",651,2019-06-15,"C",7,"ulothrix",18,"warm",9.10119047619048
"135",652,2019-06-15,"C",8,"ulothrix",12,"warm",9.10119047619048
"136",653,2019-06-15,"C",9,"ulothrix",78,"ambient",9.10119047619048
"137",654,2019-06-15,"C",10,"ulothrix",0.1,"warm",9.10119047619048
"138",655,2019-06-15,"C",11,"ulothrix",0.5,"warm",9.10119047619048
"139",656,2019-06-15,"C",12,"ulothrix",0.1,"warm",9.10119047619048
"140",657,2019-06-15,"C",13,"ulothrix",0,"ambient",9.10119047619048
"141",658,2019-06-15,"C",14,"ulothrix",49,"ambient",9.10119047619048
"142",659,2019-06-15,"C",15,"ulothrix",15,"ambient",9.10119047619048
"143",660,2019-06-15,"C",16,"ulothrix",65,"ambient",9.10119047619048
"144",661,2019-06-15,"D",1,"ulothrix",61,"ambient",9.10119047619048
"145",662,2019-06-15,"D",2,"ulothrix",57,"ambient",9.10119047619048
"146",663,2019-06-15,"D",3,"ulothrix",29,"warm",9.10119047619048
"147",664,2019-06-15,"D",4,"ulothrix",10,"ambient",9.10119047619048
"148",665,2019-06-15,"D",5,"ulothrix",9,"ambient",9.10119047619048
"149",666,2019-06-15,"D",6,"ulothrix",5,"ambient",9.10119047619048
"150",667,2019-06-15,"D",7,"ulothrix",2,"warm",9.10119047619048
"151",668,2019-06-15,"D",8,"ulothrix",0.5,"warm",9.10119047619048
"152",669,2019-06-15,"D",9,"ulothrix",1,"warm",9.10119047619048
"153",670,2019-06-15,"D",10,"ulothrix",2,"ambient",9.10119047619048
"154",671,2019-06-15,"D",11,"ulothrix",4,"ambient",9.10119047619048
"155",672,2019-06-15,"D",12,"ulothrix",1,"warm",9.10119047619048
"156",673,2019-06-15,"D",13,"ulothrix",0.1,"ambient",9.10119047619048
"157",674,2019-06-15,"D",14,"ulothrix",1,"warm",9.10119047619048
"158",675,2019-06-15,"D",15,"ulothrix",0.5,"warm",9.10119047619048
"159",676,2019-06-15,"D",16,"ulothrix",0.5,"warm",9.10119047619048
"160",677,2019-06-15,"E",1,"ulothrix",58,"warm",9.10119047619048
"161",678,2019-06-15,"E",2,"ulothrix",49,"ambient",9.10119047619048
"162",679,2019-06-15,"E",3,"ulothrix",63,"warm",9.10119047619048
"163",680,2019-06-15,"E",4,"ulothrix",81,"warm",9.10119047619048
"164",681,2019-06-15,"E",5,"ulothrix",51,"ambient",9.10119047619048
"165",682,2019-06-15,"E",6,"ulothrix",46,"warm",9.10119047619048
"166",683,2019-06-15,"E",7,"ulothrix",23,"warm",9.10119047619048
"167",684,2019-06-15,"E",8,"ulothrix",28,"ambient",9.10119047619048
"168",685,2019-06-15,"E",9,"ulothrix",21,"ambient",9.10119047619048
"169",686,2019-06-15,"E",10,"ulothrix",47,"ambient",9.10119047619048
"170",687,2019-06-15,"E",11,"ulothrix",35,"warm",9.10119047619048
"171",688,2019-06-15,"E",12,"ulothrix",16,"ambient",9.10119047619048
"172",689,2019-06-15,"E",13,"ulothrix",82,"ambient",9.10119047619048
"173",690,2019-06-15,"E",14,"ulothrix",11,"ambient",9.10119047619048
"174",691,2019-06-15,"E",15,"ulothrix",2,"warm",9.10119047619048
"175",692,2019-06-15,"E",16,"ulothrix",4.5,"warm",9.10119047619048
"176",693,2019-06-15,"F",1,"ulothrix",5,"warm",9.10119047619048
"177",694,2019-06-15,"F",2,"ulothrix",10,"warm",9.10119047619048
"178",695,2019-06-15,"F",3,"ulothrix",6,"ambient",9.10119047619048
"179",696,2019-06-15,"F",4,"ulothrix",20,"ambient",9.10119047619048
"180",697,2019-06-15,"F",5,"ulothrix",56,"warm",9.10119047619048
"181",698,2019-06-15,"F",6,"ulothrix",8,"warm",9.10119047619048
"182",699,2019-06-15,"F",7,"ulothrix",2,"ambient",9.10119047619048
"183",700,2019-06-15,"F",8,"ulothrix",4,"warm",9.10119047619048
"184",701,2019-06-15,"F",9,"ulothrix",4,"ambient",9.10119047619048
"185",702,2019-06-15,"F",10,"ulothrix",0.5,"warm",9.10119047619048
"186",703,2019-06-15,"F",11,"ulothrix",0.5,"ambient",9.10119047619048
"187",704,2019-06-15,"F",12,"ulothrix",1,"ambient",9.10119047619048
"188",705,2019-06-15,"F",13,"ulothrix",0,"warm",9.10119047619048
"189",706,2019-06-15,"F",14,"ulothrix",1,"ambient",9.10119047619048
"190",707,2019-06-15,"F",15,"ulothrix",0.5,"ambient",9.10119047619048
"191",708,2019-06-15,"F",16,"ulothrix",0,"warm",9.10119047619048
"192",1189,2019-07-04,"A",1,"ulothrix",47,"warm",11.8154761904762
