"","date_time","temp","block","number","colour"
"232","2019-06-16 09:02:00",25,"A","rock","rock"
"233","2019-06-16 10:02:00",29,"A","rock","rock"
"234","2019-06-16 11:02:00",33,"A","rock","rock"
"235","2019-06-16 12:02:00",33.5,"A","rock","rock"
"236","2019-06-16 13:02:00",34.5,"A","rock","rock"
"237","2019-06-16 14:02:00",32.5,"A","rock","rock"
"238","2019-06-16 15:02:00",25,"A","rock","rock"
"239","2019-06-16 16:02:00",14,"A","rock","rock"
"240","2019-06-16 17:02:00",13.5,"A","rock","rock"
"241","2019-06-16 18:02:00",13,"A","rock","rock"
"242","2019-06-16 19:02:00",12,"A","rock","rock"
"243","2019-06-16 20:02:00",12,"A","rock","rock"
"244","2019-06-16 21:02:00",12,"A","rock","rock"
"245","2019-06-16 22:02:00",12,"A","rock","rock"
"246","2019-06-16 23:02:00",12,"A","rock","rock"
"247","2019-06-17 00:02:00",12,"A","rock","rock"
"248","2019-06-17 01:02:00",12.5,"A","rock","rock"
"249","2019-06-17 02:02:00",12.5,"A","rock","rock"
"250","2019-06-17 03:02:00",12.5,"A","rock","rock"
"251","2019-06-17 04:02:00",12.5,"A","rock","rock"
"252","2019-06-17 05:02:00",12,"A","rock","rock"
"253","2019-06-17 06:02:00",12,"A","rock","rock"
"254","2019-06-17 07:02:00",12.5,"A","rock","rock"
"255","2019-06-17 08:02:00",20.5,"A","rock","rock"
"256","2019-06-17 09:02:00",25,"A","rock","rock"
"257","2019-06-17 10:02:00",29.5,"A","rock","rock"
"258","2019-06-17 11:02:00",30,"A","rock","rock"
"259","2019-06-17 12:02:00",33.5,"A","rock","rock"
"260","2019-06-17 13:02:00",33.5,"A","rock","rock"
"261","2019-06-17 14:02:00",33,"A","rock","rock"
"262","2019-06-17 15:02:00",32.5,"A","rock","rock"
"263","2019-06-17 16:02:00",20.5,"A","rock","rock"
"264","2019-06-17 17:02:00",13,"A","rock","rock"
"265","2019-06-17 18:02:00",12.5,"A","rock","rock"
"266","2019-06-17 19:02:00",12,"A","rock","rock"
"267","2019-06-17 20:02:00",12,"A","rock","rock"
"268","2019-06-17 21:02:00",12,"A","rock","rock"
"269","2019-06-17 22:02:00",12,"A","rock","rock"
"270","2019-06-17 23:02:00",12,"A","rock","rock"
"271","2019-06-18 00:02:00",12,"A","rock","rock"
"272","2019-06-18 01:02:00",12,"A","rock","rock"
"273","2019-06-18 02:02:00",12.5,"A","rock","rock"
"274","2019-06-18 03:02:00",12.5,"A","rock","rock"
"275","2019-06-18 04:02:00",12.5,"A","rock","rock"
"276","2019-06-18 05:02:00",12.5,"A","rock","rock"
"277","2019-06-18 06:02:00",12,"A","rock","rock"
"278","2019-06-18 07:02:00",12,"A","rock","rock"
"279","2019-06-18 08:02:00",15.5,"A","rock","rock"
